PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J1916+0748,0.541752,1.07e-14,0.08,2.80,304.00 ,-1.6
J1916+0844,0.439995,2.90e-15,0.0083,0.44,339.40 ,-1.28
J1916+0852,2.182746,1.31e-14,0.048,0.13,295.00 ,-1.6
J1916+0951,0.270254,2.52e-15,0.009,1.60,60.95 ,-2.30
J1916+1023,1.618339,6.81e-16,0.072,0.36,329.80 ,-1.62
J1916+1030,0.628970,3.40e-17,0.02,0.22,387.20 ,-1.6
J1916+1225,0.227387,2.35e-14,0.0017,0.09,265.31 ,-1.6
J1916+1312,0.281842,3.65e-15,0.0062,1.20,237.01 ,-1.80
J1917+0834,2.129665,1.75e-14,0.068,0.31,29.18 ,-1.6
J1917+1353,0.194631,7.20e-15,0.0038,6.80,94.54 ,-1.80
J1917+1737,0.334725,3.24e-16,0.0059,0.05,208.00 ,-1.6
J1918-0642,0.007646,2.57e-20,0.00074,0.58,26.46 ,-1.67
J1918+1444,1.181023,2.12e-13,0.028,1.00,27.20 ,-0.21
J1919+0021,1.272260,7.67e-15,0.0101,0.80,90.31 ,-2.30
J1919+0134,1.603984,5.89e-16,0.0405,2.10,191.90 ,-1.6
J1919+1314,0.571400,3.79e-15,0.0115,0.22,613.40 ,-1.6
J1919+1645,0.562790,2.16e-16,0.0145,0.16,208.00 ,-1.6
J1919+1745,2.081343,1.71e-15,0.0624,0.19,142.30 ,-1.6
J1920+1040,2.215802,6.48e-15,0.045,0.57,304.00 ,-3.37
J1920+1110,0.509886,1.56e-16,0.0102,0.39,182.00 ,-1.6
J1921+1419,0.618183,5.60e-15,0.022,0.68,91.64 ,-1.00
J1921+1544,0.143576,9.80e-16,0.0063,0.21,385.00 ,-1.6
J1921+1948,0.821035,8.96e-16,0.0403,1.70,153.85 ,-2.40
J1921+2153,1.337302,1.35e-15,0.0338,18.80,12.44 ,-1.90
J1922+1131,0.562074,2.57e-17,0.023,0.13,335.00 ,-1.6
J1922+1733,0.236171,1.34e-14,0.0094,1.16,238.00 ,-1.6
J1922+2110,1.077924,8.18e-15,0.0148,1.40,217.09 ,-2.40
J1923+1706,0.547209,4.30e-17,0.019,0.41,142.50 ,-1.6
J1923+2515,0.003788,9.56e-21,0.00054,0.22,18.86 ,-1.6
J1924+1631,2.935186,3.64e-13,0.0272,0.09,518.50 ,-1.6
J1924+1639,0.158043,2.56e-15,0.0072,0.21,208.00 ,-1.6
J1925+1720,0.075659,1.05e-14,0.0022,0.07,223.30 ,-1.6
J1926+0737,0.318062,3.75e-16,0.0254,0.11,159.00 ,-1.6
J1926+1434,1.324922,2.19e-16,0.016,0.48,211.41 ,-1.6
J1926+1648,0.579823,1.80e-14,0.0146,1.30,176.88 ,-1.50
J1926+2016,0.299072,3.50e-15,0.0097,0.12,247.00 ,-1.6
J1927+0911,0.290305,6.35e-17,0.0037,0.16,202.70 ,-1.6
J1927+1852,0.482766,1.16e-16,0.032,0.44,254.00 ,-1.6
J1927+1856,0.298313,2.24e-15,0.009,0.55,99.00 ,-2.52
J1928+1443,1.010739,2.10e-16,0.0416,0.17,101.00 ,-1.6
J1928+1746,0.068730,1.32e-14,0.0034,0.28,176.68 ,-1.6
J1928+1923,0.817330,6.35e-15,0.0309,0.64,476.00 ,-1.6
J1929+1357,0.866927,3.66e-15,0.0115,2.20,150.70 ,-1.6
J1929+1955,0.257832,2.56e-15,0.0102,0.42,281.00 ,-1.6
J1929+2121,0.723599,2.14e-15,0.015,0.23,66.00 ,-1.6
J1930+1316,0.760032,3.66e-15,0.017,0.18,207.30 ,-1.6
J1930+1852,0.136855,7.51e-13,0.015,0.06,308.00 ,-1.6
J1931+1439,1.779226,6.33e-15,0.0642,0.08,243.00 ,-1.6
J1931+1536,0.314355,5.01e-15,0.011,0.36,140.00 ,-1.6
J1931+1952,0.501123,1.01e-16,0.013,0.13,441.00 ,-1.6
J1932+1059,0.226518,1.16e-15,0.0057,28.70,3.18 ,-1.70
J1932+1500,1.864332,4.59e-16,0.0507,0.19,90.50 ,-1.6
J1932+2020,0.268217,4.22e-15,0.005,1.20,211.15 ,-2.50
J1932+2220,0.144470,5.76e-14,0.0057,1.20,219.20 ,-1.40
J1932-3655,0.571420,2.84e-16,0.0051,0.70,59.88 ,-1.6
J1933+1304,0.928324,3.18e-16,0.029,0.42,177.01 ,-1.00
J1933-6211,0.003543,3.87e-21,0.00036,2.30,11.52 ,-1.6
J1934+2352,0.178432,1.31e-13,0.0042,0.06,355.50 ,-1.6
J1935+1159,1.939758,9.48e-16,0.272,0.17,188.76 ,-1.6
J1935+1616,0.358738,6.00e-15,0.006,57.80,158.52 ,-1.40
J1935+1745,0.654408,3.78e-16,0.024,0.16,214.60 ,-3.00
J1935+2025,0.080118,6.08e-14,0.002,0.50,182.00 ,-1.6
J1937+1505,2.872774,5.61e-15,0.046,0.13,237.00 ,-1.6
J1937+2544,0.200980,6.43e-16,0.013,1.40,53.22 ,-0.70
J1938+2010,0.687082,3.40e-15,0.025,0.10,327.70 ,-1.6
J1938+2213,0.166116,4.24e-14,0.0068,0.59,91.00 ,-1.6
J1939+2134,0.001558,1.05e-19,3.8e-05,13.20,71.02 ,-1.6
J1940+2245,0.258912,1.27e-14,0.013,0.15,222.40 ,-1.6
J1940+2337,0.546824,7.68e-14,0.0094,0.07,252.10 ,-1.6
J1941+2525,2.306153,1.61e-13,0.0356,0.24,314.40 ,-1.6
J1941-2602,0.402858,9.56e-16,0.0031,1.90,50.04 ,-1.60
J1943+0609,0.446226,4.66e-16,0.0092,0.70,70.76 ,-1.6
J1943-1237,0.972429,1.66e-15,0.0095,1.20,28.92 ,-2.40
J1944+0907,0.005185,1.73e-20,0.0005,2.60,24.36 ,-1.6
J1944-1750,0.841158,9.86e-16,0.0229,0.30,56.32 ,-2.10
J1945-0040,1.045632,5.35e-16,0.05,0.80,59.71 ,-1.80
J1946-1312,0.491865,1.99e-15,0.0101,0.30,60.00 ,-1.6
J1946+1805,0.440618,2.41e-17,0.0135,10.00,16.14 ,-0.90
J1946+2244,1.334450,8.89e-16,0.022,0.17,140.00 ,-1.6
J1946+2535,0.515167,5.64e-15,0.0086,0.48,248.81 ,-1.6
J1946-2913,0.959448,1.49e-15,0.0093,0.50,44.31 ,-2.00
J1947+0915,1.480744,4.78e-16,0.0259,0.20,94.00 ,-1.6
J1947+1957,0.157509,5.23e-16,0.0065,0.08,185.80 ,-1.6
J1948+2333,0.528352,1.36e-14,0.0052,0.28,198.20 ,-1.6
J1948+2551,0.196627,9.02e-15,0.0092,0.62,289.27 ,-1.6
J1948+3540,0.717311,7.06e-15,0.0193,8.30,129.37 ,-2.20
J1949+2306,1.319373,1.23e-16,0.0196,0.10,196.30 ,-1.6
J1949-2524,0.957617,3.27e-15,0.0104,0.40,23.07 ,-2.00
J1950+2414,0.004305,1.89e-20,0.00034,0.12,142.09 ,-1.6
J1952+2630,0.020732,4.27e-18,0.0013,0.09,315.34 ,-1.6
J1952+3252,0.039531,5.84e-15,0.0047,1.00,45.01 ,-1.60
J1953+2732,1.333965,1.77e-15,0.0263,0.10,195.40 ,-1.6
J1954+2407,0.193405,1.06e-15,0.0019,0.10,80.50 ,-1.6
J1954+2923,0.426677,1.71e-18,0.006,8.00,7.93 ,0.00
J1955+2908,0.006133,2.97e-20,0.0018,1.10,104.52 ,-1.6
J1956+0838,0.303911,2.20e-16,0.0149,0.80,67.09 ,-1.6
J1959+2048,0.001607,1.69e-20,3.5e-05,0.40,29.12 ,-1.6
J2002+3217,0.696761,1.05e-13,0.0175,1.20,142.21 ,-1.20
J2002+4050,0.905067,1.74e-15,0.0248,4.90,131.49 ,-1.80
J2004+2653,0.665879,5.67e-17,0.0148,0.06,160.00 ,-1.6
J2004+3137,2.111265,7.46e-14,0.0213,1.80,234.82 ,-1.50
J2005-0020,2.279661,2.57e-14,0.038,0.70,35.93 ,-1.6
J2005+3547,0.615034,2.81e-16,0.0208,0.25,401.60 ,-1.6
J2006-0807,0.580871,4.60e-17,0.0783,4.70,32.39 ,-1.50
J2006+3102,0.163695,2.49e-14,0.0118,0.27,107.16 ,-1.6
J2007+2722,0.024497,9.61e-19,0.016,2.10,127.00 ,-1.6
J2007+3120,0.608205,1.56e-14,0.0087,0.12,191.50 ,-1.6
J2009+3326,1.438369,1.47e-15,0.0267,0.15,263.60 ,-1.6
J2010-1323,0.005223,4.82e-21,0.00028,1.60,22.18 ,-1.6
J2010+2845,0.565369,9.07e-17,0.0136,0.43,112.47 ,-1.6
J2010+3230,1.442448,3.62e-15,0.0288,0.12,371.80 ,-1.6
J2011+3331,0.931733,1.79e-15,0.0306,0.38,298.58 ,-1.6
J2013+3058,0.276028,1.52e-16,0.0029,0.07,148.70 ,-1.6
J2013+3845,0.230194,8.85e-15,0.0227,6.40,238.22 ,-1.10
J2018+2839,0.557953,1.48e-16,0.0149,30.00,14.20 ,-2.30
J2018+3431,0.387664,1.84e-15,0.0067,0.24,222.35 ,-1.6
J2021+3651,0.103741,9.57e-14,0.0099,0.10,367.50 ,-1.6
J2022+2854,0.343402,1.89e-15,0.012,38.00,24.63 ,-0.40
J2029+3744,1.216805,1.23e-14,0.0223,0.60,190.66 ,-2.60
J2037+3621,0.618715,4.50e-15,0.0107,0.80,93.56 ,-1.60
J2038-3816,1.577286,4.13e-15,0.0245,0.30,33.96 ,-1.6
J2046-0421,1.546938,1.47e-15,0.0208,1.70,35.80 ,-1.70
J2046+1540,1.138286,1.82e-16,0.0096,1.70,39.82 ,-1.60
J2048-1616,1.961572,1.10e-14,0.0098,22.00,11.46 ,-1.70
J2050+1259,1.221020,5.04e-16,0.061,0.05,52.40 ,-1.6
J2051-0827,0.004509,1.27e-20,0.00034,2.80,20.73 ,-1.50
J2053+1718,0.119268,2.86e-19,0.0017,0.00,26.98 ,-1.6
J2053-7200,0.341336,1.96e-16,0.0244,6.00,17.30 ,-1.6
J2055+3630,0.221508,3.69e-16,0.0072,2.60,97.42 ,-1.90
J2108-3429,1.423102,3.50e-15,0.0138,0.50,30.22 ,-1.6
J2113+2754,1.202852,2.62e-15,0.013,1.10,25.11 ,-2.30
J2116+1414,0.440153,2.89e-16,0.0077,0.80,56.20 ,-1.70
J2124-3358,0.004931,2.06e-20,0.000524,3.60,4.60 ,-1.50
J2127-6648,0.325771,2.26e-16,0.0229,0.60,35.00 ,-1.6
J2129-5721,0.003726,2.09e-20,0.000262,1.10,31.85 ,-2.20
J2144-3933,8.509827,4.96e-16,0.0165,0.80,3.35 ,-1.6
J2145-0750,0.016052,2.98e-20,0.000337,0.80,9.00 ,-1.80
J2155-3118,1.030002,1.24e-15,0.016,1.20,14.85 ,-2.20
J2157+4017,1.525266,3.43e-15,0.0386,17.00,71.12 ,-1.50
J2212+2933,1.004593,4.95e-16,0.0512,0.90,74.52 ,-1.40
J2229+2643,0.002978,1.52e-21,0.00058,0.90,22.73 ,-1.80
J2236-5527,0.006908,9.60e-21,0.000195,0.28,20.00 ,-1.6
J2241-5236,0.002187,6.64e-21,7e-05,4.10,11.41 ,-1.6
J2248-0101,0.477233,6.59e-16,0.0084,0.50,29.05 ,-1.6
J2305+3100,1.575886,2.89e-15,0.0174,2.20,49.58 ,-2.30
J2313+4253,0.349434,1.12e-16,0.0088,15.00,17.28 ,-1.50
J2317+1439,0.003445,2.43e-21,0.00046,4.00,21.88 ,-1.30
J2317+2149,1.444653,1.05e-15,0.0202,0.90,20.87 ,-2.20
J2322-2650,0.003463,5.83e-22,0.00011,0.16,6.15 ,-1.6
J2324-6054,2.347486,2.59e-15,0.0411,1.00,14.00 ,-1.6
J2330-2005,1.643622,4.63e-15,0.0064,2.90,8.46 ,-2.00
J2346-0609,1.181463,1.36e-15,0.0486,2.00,22.50 ,-1.6
