PSRJ,P0,P1,W50,S1400,DM ,SPINDX
J1248-6444,1.234893,1.93e-15,0.0543,0.15,236.40 ,-1.6
J1249-6507,0.434445,1.21e-17,0.011,0.10,215.00 ,-1.6
J1251-7407,0.327058,3.65e-16,0.0025,0.20,89.81 ,-1.6
J1252-6314,0.823339,1.08e-16,0.02,0.66,278.40 ,-1.6
J1253-5820,0.255496,2.10e-15,0.0035,4.10,100.58 ,-1.80
J1254-6150,0.184502,6.24e-16,0.0035,0.15,95.00 ,-1.6
J1255-6131,0.657974,4.00e-15,0.0086,0.13,206.50 ,-1.6
J1257-1027,0.617308,3.63e-16,0.006,1.20,29.63 ,-1.70
J1259-6741,0.663329,1.21e-15,0.0214,1.30,94.70 ,-2.10
J1300+1240,0.006219,1.14e-19,0.00066,2.00,10.17 ,-1.80
J1301-6305,0.184528,2.67e-13,0.0223,0.49,374.00 ,-0.90
J1301-6310,0.663830,5.64e-14,0.011,0.11,86.10 ,-1.6
J1302-6313,0.967846,6.33e-15,0.093,0.18,500.00 ,-1.6
J1302-6350,0.047763,2.28e-15,0.0234,4.50,146.73 ,-0.50
J1303-6305,2.306642,2.18e-15,0.038,0.36,343.00 ,-3.36
J1305-6203,0.427762,3.21e-14,0.0146,0.67,471.00 ,-1.40
J1305-6256,0.478231,2.11e-15,0.019,0.32,967.00 ,-1.6
J1305-6455,0.571647,4.03e-15,0.0144,2.10,505.00 ,-2.30
J1306-6242,0.981902,5.86e-15,0.033,0.14,480.00 ,-1.6
J1306-6617,0.473026,5.97e-15,0.0204,5.00,436.90 ,-1.6
J1307-6318,4.962427,2.11e-14,0.505,1.40,374.00 ,-1.6
J1308-5844,0.464700,8.64e-15,0.0059,0.21,205.60 ,-1.6
J1309-6415,0.619454,8.79e-15,0.026,0.21,574.00 ,-1.6
J1309-6526,0.398292,1.84e-17,0.01,0.15,340.00 ,-1.6
J1311-1228,0.447518,1.51e-16,0.0067,0.50,36.21 ,-1.80
J1312-6400,2.437432,6.83e-16,0.034,0.75,93.00 ,-1.6
J1314-6101,2.948390,1.17e-14,0.059,0.41,309.00 ,-3.09
J1316-6232,0.342825,5.30e-15,0.119,0.74,983.30 ,-1.6
J1317-6302,0.261271,1.02e-16,0.0102,1.60,678.10 ,-2.00
J1319-6056,0.284351,1.53e-15,0.0044,1.30,400.94 ,-2.20
J1319-6105,0.421118,1.50e-15,0.013,0.84,442.20 ,-1.40
J1320-3512,0.458488,1.90e-18,0.0098,4.70,16.42 ,-1.6
J1320-5359,0.279729,9.25e-15,0.0076,2.10,97.10 ,-1.70
